[NODE]-[N4]-[1]-[2]     [BEAMCOLUMN]-[E3]-[1]-[2]
-8.4     -45.7212
-7.2     -39.1896
-6     -32.658
-4.8     -26.1264
-3.6     -19.5948
-2.4     -13.0632
-1.2     -6.5316
2.35367e-14     3.25667e-14
1.2     6.5316
2.4     13.0632
3.6     19.5948
4.8     26.1264
6     32.658
7.2     39.1896
8.4     45.7212
9.6     52.2528
10.8     58.7844
12     65.316
13.2     71.8476
14.4     78.3792
15.6     84.9109
16.8     91.4425
18     97.9741
19.2     104.506
20.4     111.037
21.6     117.569
22.8     124.1
24     130.632
25.2     137.164
26.4     143.695
27.6     150.227
28.8     156.758
30     163.29
28.8     156.758
27.6     150.227
26.4     143.695
25.2     137.164
24     130.632
22.8     124.1
21.6     117.569
20.4     111.037
19.2     104.506
18     97.9741
16.8     91.4425
15.6     84.9109
14.4     78.3792
13.2     71.8476
12     65.316
10.8     58.7844
9.6     52.2528
8.4     45.7212
7.2     39.1896
6     32.658
4.8     26.1264
3.6     19.5948
2.4     13.0632
1.2     6.5316
2.26485e-14     3.83401e-14
-1.2     -6.5316
-2.4     -13.0632
-3.6     -19.5948
-4.8     -26.1264
-6     -32.658
-7.2     -39.1896
-8.4     -45.7212
-9.6     -52.2528
-10.8     -58.7844
-12     -65.316
-13.2     -71.8476
-14.4     -78.3792
-15.6     -84.9109
-16.8     -91.4425
-18     -97.9741
-19.2     -104.506
-20.4     -111.037
-21.6     -117.569
-22.8     -124.1
-24     -130.632
-25.2     -137.164
-26.4     -143.695
-27.6     -150.227
-28.8     -156.758
-30     -163.29
-28.8     -156.758
-27.6     -150.227
-26.4     -143.695
-25.2     -137.164
-24     -130.632
-22.8     -124.1
-21.6     -117.569
-20.4     -111.037
-19.2     -104.506
-18     -97.9741
-16.8     -91.4425
-15.6     -84.9109
-14.4     -78.3792
-13.2     -71.8476
-12     -65.316
-10.8     -58.7844
-9.6     -52.2528
-8.4     -45.7212
-7.2     -39.1896
-6     -32.658
-4.8     -26.1264
-3.6     -19.5948
-2.4     -13.0632
-1.2     -6.5316
2.35367e-14     3.25667e-14
1.2     6.5316
2.4     13.0632
3.6     19.5948
4.8     26.1264
6     32.658
7.2     39.1896
8.4     45.7212
9.6     52.2528
10.8     58.7844
12     65.316
13.2     71.8476
14.4     78.3792
15.6     84.9109
16.8     91.4425
18     97.9741
19.2     104.506
20.4     111.037
21.6     117.569
22.8     124.1
24     130.632
25.2     137.164
26.4     143.695
27.6     150.227
28.8     156.758
30     163.29
28.8     156.758
27.6     150.227
26.4     143.695
25.2     137.164
24     130.632
22.8     124.1
21.6     117.569
20.4     111.037
19.2     104.506
18     97.9741
16.8     91.4425
15.6     84.9109
14.4     78.3792
13.2     71.8476
12     65.316
10.8     58.7844
9.6     52.2528
8.4     45.7212
7.2     39.1896
6     32.658
4.8     26.1264
3.6     19.5948
2.4     13.0632
1.2     6.5316
2.26485e-14     3.83401e-14
-1.2     -6.5316
-2.4     -13.0632
-3.6     -19.5948
-4.8     -26.1264
-6     -32.658
-7.2     -39.1896
-8.4     -45.7212
-9.6     -52.2528
-10.8     -58.7844
-12     -65.316
-13.2     -71.8476
-14.4     -78.3792
-15.6     -84.9109
-16.8     -91.4425
-18     -97.9741
-19.2     -104.506
-20.4     -111.037
-21.6     -117.569
-22.8     -124.1
-24     -130.632
-25.2     -137.164
-26.4     -143.695
-27.6     -150.227
-28.8     -156.758
-30     -163.29
-28.8     -156.758
-27.6     -150.227
-26.4     -143.695
-25.2     -137.164
-24     -130.632
-22.8     -124.1
-21.6     -117.569
-20.4     -111.037
-19.2     -104.506
-18     -97.9741
-16.8     -91.4425
-15.6     -84.9109
-14.4     -78.3792
-13.2     -71.8476
-12     -65.316
-10.8     -58.7844
-9.6     -52.2528
