U_Link_disp     U_Link_shear
-0.0266603     -90.1531
-0.0265315     -30.6785
-0.0264026     28.7961
-0.0262738     88.2707
-0.0261449     147.745
-0.026016     207.22
-0.0258872     266.695
-0.0257583     326.169
-0.0256294     385.644
-0.0255006     445.118
-0.0253717     504.593
-0.0252429     564.068
-0.025114     623.542
-0.0249851     683.017
-0.0248563     742.491
-0.0247274     801.966
-0.0245986     861.44
-0.0244697     920.915
-0.0243502     976.079
-0.0242706     1012.79
-0.0242082     1041.59
-0.0241546     1066.32
-0.0240425     1087.77
-0.0237262     1105.32
-0.0232716     1120.32
-0.0227206     1133.56
-0.0220976     1145.48
-0.021418     1156.37
-0.0206927     1166.42
-0.0199292     1175.77
-0.0191334     1184.54
-0.0183097     1192.8
-0.0174615     1200.62
-0.0165919     1208.04
-0.0157029     1215.12
-0.0147967     1221.88
-0.0138748     1228.36
-0.0129386     1234.57
-0.0119894     1240.56
-0.0110281     1246.32
-0.0100558     1251.88
-0.00907307     1257.26
-0.00808078     1262.46
-0.00707952     1267.5
-0.00606987     1272.39
-0.00505232     1277.13
-0.00402736     1281.75
-0.00299539     1286.23
-0.00195679     1290.6
-0.000911927     1294.85
0.000138894     1298.99
0.00119538     1303.04
0.00225725     1306.98
0.00332425     1310.84
0.00439617     1314.6
0.00547277     1318.28
0.00655387     1321.88
0.00763926     1325.4
0.00872879     1328.85
0.00982227     1332.23
0.0109196     1335.53
0.0120205     1338.77
0.013125     1341.95
0.0142329     1345.07
0.0153441     1348.13
0.0164585     1351.13
0.0175759     1354.07
0.0186963     1356.97
0.0198195     1359.81
0.0209455     1362.6
0.0220742     1365.34
0.0232055     1368.04
0.0243393     1370.69
0.0254756     1373.29
0.0266142     1375.86
0.0277552     1378.38
0.0288984     1380.86
0.0300438     1383.31
0.0311913     1385.71
0.0310302     1311.37
0.0308691     1237.03
0.030708     1162.68
0.030547     1088.34
0.0303859     1014
0.0302248     939.652
0.0300637     865.309
0.0299027     790.966
0.0297416     716.623
0.0295805     642.279
0.0294194     567.936
0.0292583     493.593
0.0290973     419.25
0.0289362     344.906
0.0287751     270.563
0.028614     196.22
0.028453     121.877
0.0282919     47.5333
0.0281308     -26.8099
0.0279697     -101.153
0.0278087     -175.496
0.0276476     -249.84
