L_Link_disp     L_Link_shear
0.0385776     2000.58
0.039904     2003.55
0.0412295     2006.48
0.0425542     2009.36
0.0438781     2012.2
0.0437086     1901.4
0.0435392     1790.59
0.0433697     1679.79
0.0432002     1568.98
0.0430308     1458.18
0.0428613     1347.37
0.0426918     1236.57
0.0425224     1125.77
0.0423529     1014.96
0.0421834     904.156
0.042014     793.351
0.0418445     682.547
0.041675     571.742
0.0415056     460.937
0.0413361     350.133
0.0411666     239.328
0.0409972     128.523
0.0408277     17.7188
0.0406582     -93.0858
0.0404888     -203.89
0.0403193     -314.695
0.0401498     -425.5
0.0399804     -536.304
0.0398109     -647.109
0.0396414     -757.914
0.039472     -868.718
0.0393025     -979.523
0.039133     -1090.33
0.0389636     -1201.13
0.0387941     -1311.94
0.0386246     -1422.74
0.0382722     -1526.43
0.0368054     -1586.76
0.0348797     -1629.23
0.0327512     -1662.96
0.0306918     -1689.17
0.0287155     -1710.64
0.0267933     -1729.1
0.0249095     -1745.43
0.0230549     -1760.16
0.0212234     -1773.62
0.0194107     -1786.06
0.0176138     -1797.63
0.0158304     -1808.47
0.0140585     -1818.67
0.0122969     -1828.32
0.0105443     -1837.48
0.00879978     -1846.21
0.00706253     -1854.53
0.00533187     -1862.5
0.00360722     -1870.15
0.00188807     -1877.5
0.000174004     -1884.57
-0.00153538     -1891.39
-0.00324041     -1897.97
-0.00494139     -1904.34
-0.00663858     -1910.5
-0.00833223     -1916.47
-0.0100226     -1922.26
-0.0117098     -1927.88
-0.013394     -1933.34
-0.0150754     -1938.65
-0.0167543     -1943.82
-0.0184306     -1948.85
-0.0201045     -1953.76
-0.0217761     -1958.54
-0.0234456     -1963.2
-0.0251131     -1967.76
-0.0267786     -1972.2
-0.0284421     -1976.55
-0.0301039     -1980.8
-0.031764     -1984.95
-0.0334224     -1989.01
-0.0350793     -1992.99
-0.0367346     -1996.89
-0.0383884     -2000.7
-0.0400408     -2004.44
-0.0416919     -2008.1
-0.0433416     -2011.7
-0.0449901     -2015.22
-0.0466373     -2018.68
-0.0482834     -2022.07
-0.0499283     -2025.4
-0.0515721     -2028.66
-0.0532149     -2031.87
-0.0548566     -2035.03
-0.0564973     -2038.13
-0.058137     -2041.17
-0.0597758     -2044.16
-0.0614137     -2047.1
-0.0630507     -2050
-0.0646868     -2052.84
-0.0663221     -2055.64
-0.0679566     -2058.39
-0.0695902     -2061.1
-0.0712231     -2063.77
-0.0728553     -2066.4
