Sd	        Sa	    Period
cm	        g	    sec
217.0769863	0.364 	4.9
217.29854	0.363 	4.91
217.5176187	0.362 	4.92
217.7325286	0.361 	4.93
217.9424584	0.359 	4.94
218.1485321	0.358 	4.95
218.3519534	0.357 	4.96
218.5534551	0.356 	4.97
218.7521176	0.355 	4.98
218.9463261	0.354 	4.99
219.1359931	0.353 	5


