qc av (%)	Lateral Force (kN)
-0.075665143	-144.93
-0.081040568	-134.71
-0.077780457	-124.42
-0.067909573	-114.18
-0.064522389	-104.08
-0.064247726	-94.16
-0.059416704	-83.92
-0.042829814	-73.93
-0.035917268	-63.94
-0.049913675	-53.98
-0.021249427	-43.94
-0.02503375	-34.15
-0.009528552	-24.41
-0.017022326	-14.58
-0.005681791	-4.68
-4.10807E-05	5.1
-0.010329075	14.44
0.011054992	24.64
0.016802497	35.04
0.027070354	45.04
0.02744763	54.89
0.022262764	64.84
0.040411278	74.89
0.023867625	84.68
0.040557789	94.49
0.062964332	104.75
0.046327362	114.34
0.072293285	124.46
0.065983904	133.97
0.072824374	144.02
0.081150502	154.22
0.091714816	164.03
0.105972851	173.92
0.109108212	184.16
0.102475691	193.96
0.117116466	203.81
0.113157021	213.93
0.099300025	223.69
0.136428465	233.83
0.121065309	243.83
0.125579157	231.43
0.127643894	221.46
0.128744959	211.11
0.121840051	200.99
0.118000734	191.01
0.11815663	180.88
0.115610602	170.96
0.097840057	160.92
0.095532255	151.08
0.083998864	141.35
0.078231699	131.29
0.080315539	121.3
0.072902088	111.2
0.073530695	101.38
0.046820329	91.45
0.061294122	81.67
0.042351591	71.77
0.043892067	61.65
0.058460152	51.66
0.022541789	41.53
0.026820452	31.82
0.01089508	21.18
0.015291149	10.99
0.006640942	1.82
0.008660469	-7.99
0.006744116	-17.79
-0.011714316	-27.65
-0.012289036	-37.64
-0.016893561	-47.82
-0.021034672	-57.66
-0.03617955	-67.58
-0.0267612	-77.71
-0.043630543	-87.94
-0.05952742	-98.21
-0.051226295	-108.06
-0.064666172	-118.26
-0.061227641	-128.47
-0.073132614	-138.53
-0.073635486	-148.78
-0.080482756	-158.89
-0.091447347	-169.08
-0.086339751	-179.22
-0.090949554	-189.18
-0.107278708	-199.64
-0.10785061	-209.85
-0.117384007	-219.89
-0.12955835	-230.33
-0.131930826	-240.7
-0.137802916	-227.83
-0.116378778	-217.07
-0.117584093	-206.74
-0.106771956	-196.65
-0.10852736	-186.47
-0.097366107	-176
-0.100016822	-165.63
-0.093478118	-155.39
-0.077299034	-145.09
-0.072436495	-134.81
-0.06444035	-124.51
-0.07342833	-114.47
-0.066865198	-104.25
-0.057901447	-94.15
-0.053669187	-84.13
-0.035207642	-73.8
-0.049467452	-64.08
-0.038655148	-53.89
-0.022758819	-43.98
-0.036974448	-34.23
-0.019946242	-24.6
-0.016941464	-14.65
-0.00120111	-4.79
0.007453482	4.92
-0.008059737	14.49
0.0161181	24.58
0.030888031	34.67
0.025601741	44.76
0.01849792	54.67
0.036821689	64.81
0.031249808	74.84
0.014395284	84.58
0.041525881	94.56
0.049647662	104.26
0.041970973	114.46
0.065598519	123.92
0.083469176	134.15
0.072518588	143.74
0.090340532	154.21
0.078081064	163.86
0.104736867	173.89
0.106786245	184.31
0.109994774	194.05
0.119412898	203.86
0.121924405	214.22
0.109597475	223.84
0.136826612	234.1
0.136049524	243.94
0.115106669	231.36
0.128764207	221.25
0.116283751	210.82
0.112255337	200.94
0.112635848	191.11
0.121145804	180.86
0.102180905	170.98
0.078007992	160.6
0.108189665	151.02
0.078069805	141.2
0.073336618	131.07
0.068002539	121.42
0.076762376	111.64
0.066414614	101.4
0.044809894	91.34
0.037759558	81.81
0.047204444	71.78
0.043855234	61.71
0.032886515	51.62
0.039760462	41.74
0.025044183	31.73
0.019527259	21.16
0.014004931	11.46
0.004940617	1.7
0.011108703	-8.05
-0.018539869	-17.76
-0.021102455	-27.56
-0.026136088	-37.61
-0.012465206	-47.33
-0.023134439	-57.44
-0.036049797	-67.56
-0.039655294	-77.78
-0.048293804	-87.75
-0.046768501	-97.66
-0.053678579	-108.37
-0.053410336	-117.95
-0.068543569	-128.41
-0.065831544	-138.6
-0.078683658	-148.85
-0.088777859	-158.78
-0.089360324	-168.95
-0.095256602	-179.21
-0.101194242	-189.28
-0.113927317	-199.5
-0.117667145	-209.63
-0.123847837	-219.84
-0.130969374	-229.98
-0.124402933	-240.51
-0.122760771	-227.87
-0.120619299	-217
-0.130430593	-206.77
-0.111599082	-196.32
-0.093540703	-185.98
-0.098811796	-175.86
-0.092693178	-165.67
-0.083109884	-155.45
-0.081755306	-144.97
-0.073545113	-134.82
-0.082344786	-124.62
-0.064926518	-114.37
-0.060375831	-104.3
-0.056282937	-94.16
-0.059112496	-84.18
-0.042708386	-73.68
-0.053689236	-63.94
-0.042852927	-53.88
-0.031507279	-44.07
-0.019234894	-34.12
-0.011543531	-24.44
-0.012858786	-14.65
-0.020278288	-4.73
-0.026275743	5.11
-0.010353585	14.41
0.0117802	24.67
0.008456381	34.84
0.011284098	44.92
0.029787219	54.94
0.031953719	64.84
0.035737994	74.68
0.031237926	84.74
0.03970459	94.61
0.066451966	104.28
0.066716958	114.44
0.074552023	124.25
0.06728838	133.93
0.077929267	143.88
