longitudinal	transverse	vertical
0.210 	0.050 	-0.070 
0.000 	0.040 	0.290 
0.000 	-0.090 	-0.190 
0.020 	-0.050 	-0.210 
-0.070 	0.030 	0.240 
-0.110 	-0.100 	-0.220 
-0.250 	-0.080 	0.120 
-0.150 	0.050 	0.330 
-0.150 	0.070 	-0.360 
-0.120 	-0.100 	0.210 
0.050 	-0.070 	0.330 
-0.020 	0.130 	-0.370 
0.050 	-0.130 	0.120 
0.070 	-0.110 	0.140 
0.120 	0.160 	-0.180 
0.250 	-0.090 	0.130 
-0.030 	-0.120 	-0.140 
0.050 	0.050 	-0.010 
0.010 	0.020 	0.170 
-0.240 	-0.010 	-0.190 
0.000 	-0.030 	0.110 
-0.210 	0.030 	0.120 
-0.370 	0.000 	-0.280 
0.030 	-0.040 	0.190 
0.100 	0.030 	0.220 
0.010 	-0.100 	-0.420 
0.030 	-0.150 	0.280 
0.110 	0.100 	0.280 
0.130 	0.030 	-0.540 
-0.030 	-0.150 	0.310 
0.070 	0.080 	0.140 
0.120 	0.050 	-0.260 
-0.210 	-0.120 	0.270 
-0.090 	0.040 	-0.150 
-0.020 	0.060 	0.070 
-0.320 	-0.050 	0.160 
-0.140 	-0.030 	-0.270 
0.080 	0.030 	0.110 
0.000 	0.010 	0.100 
0.010 	-0.080 	-0.130 
0.190 	-0.030 	0.200 
0.110 	0.070 	0.060 
-0.060 	-0.070 	-0.250 
0.170 	-0.040 	0.440 
0.100 	0.100 	0.050 
-0.090 	0.010 	-0.440 
0.050 	-0.130 	0.430 
-0.090 	-0.070 	-0.080 
-0.210 	0.080 	-0.250 
-0.230 	-0.160 	0.260 
-0.040 	-0.120 	-0.200 
0.080 	0.090 	0.160 
-0.140 	-0.110 	0.130 
0.140 	-0.050 	-0.260 
0.160 	0.070 	0.280 
0.000 	0.000 	-0.010 
0.140 	-0.040 	-0.130 
-0.030 	-0.060 	0.330 
-0.020 	-0.020 	-0.220 
0.000 	-0.040 	-0.180 
-0.130 	-0.060 	0.370 
