longitudinal	transverse	vertical
0.096 	0.097 	0.075 
0.009 	0.026 	0.014 
0.004 	0.015 	0.011 
0.103 	0.075 	0.061 
0.021 	0.067 	0.011 
-0.004 	0.011 	-0.019 
0.060 	0.052 	0.051 
0.065 	0.079 	0.064 
-0.021 	0.015 	0.002 
0.037 	0.025 	0.057 
0.068 	0.082 	0.090 
-0.009 	0.032 	0.020 
-0.003 	0.009 	0.028 
0.098 	0.069 	0.101 
0.019 	0.063 	0.034 
-0.009 	-0.005 	-0.004 
0.067 	0.048 	0.060 
0.074 	0.077 	0.053 
-0.020 	0.025 	-0.015 
0.046 	0.030 	0.031 
0.116 	0.091 	0.063 
0.007 	0.028 	0.011 
0.003 	0.013 	0.014 
0.091 	0.067 	0.082 
0.011 	0.060 	0.041 
-0.030 	0.001 	0.011 
0.053 	0.046 	0.085 
0.060 	0.069 	0.074 
-0.017 	0.004 	-0.011 
0.029 	0.015 	0.046 
0.090 	0.078 	0.075 
-0.014 	0.040 	0.019 
-0.009 	0.000 	0.028 
0.090 	0.057 	0.120 
0.020 	0.052 	0.043 
-0.015 	-0.018 	-0.001 
0.070 	0.048 	0.043 
0.066 	0.075 	0.037 
-0.019 	0.011 	-0.031 
0.025 	0.014 	0.037 
0.063 	0.072 	0.092 
-0.009 	0.024 	0.041 
0.003 	0.000 	0.029 
0.073 	0.045 	0.105 
0.024 	0.048 	0.048 
-0.019 	-0.029 	0.011 
0.059 	0.024 	0.080 
0.053 	0.053 	0.092 
-0.012 	0.005 	0.020 
0.030 	0.003 	0.057 
0.092 	0.062 	0.089 
-0.008 	0.022 	0.027 
-0.013 	-0.005 	0.009 
0.079 	0.055 	0.117 
0.031 	0.042 	0.070 
-0.026 	-0.008 	0.019 
0.068 	0.028 	0.060 
0.052 	0.061 	0.074 
-0.020 	-0.003 	-0.007 
0.028 	0.000 	0.039 
0.091 	0.064 	0.082 
0.009 	0.013 	0.031 
0.007 	-0.016 	0.007 
0.059 	0.042 	0.069 
0.019 	0.046 	0.039 
-0.020 	-0.012 	-0.001 
0.046 	0.029 	0.057 
0.056 	0.066 	0.066 
0.001 	0.002 	0.002 
0.031 	0.005 	0.028 
0.088 	0.065 	0.047 
-0.008 	0.017 	0.014 
-0.004 	-0.013 	0.004 
0.079 	0.051 	0.098 
0.036 	0.056 	0.053 
-0.029 	-0.008 	0.024 
0.054 	0.040 	0.058 
0.058 	0.068 	0.065 
-0.017 	0.009 	-0.014 
0.024 	0.012 	0.028 
0.073 	0.076 	0.068 
-0.011 	0.039 	0.021 
0.001 	0.008 	-0.007 
0.079 	0.061 	0.059 
0.036 	0.055 	0.015 
-0.021 	-0.009 	-0.021 
0.058 	0.035 	0.048 
0.054 	0.074 	0.076 
-0.020 	0.007 	-0.003 
0.029 	0.019 	0.033 
0.108 	0.070 	0.060 
0.006 	0.027 	0.000 
0.010 	0.002 	0.000 
0.072 	0.062 	0.069 
0.028 	0.061 	0.038 
-0.010 	0.005 	0.002 
0.059 	0.039 	0.047 
0.063 	0.087 	0.041 
-0.010 	0.018 	-0.033 
0.022 	0.034 	0.003 
0.099 	0.087 	0.049 
0.018 	0.037 	-0.013 
0.015 	-0.006 	-0.002 
0.079 	0.057 	0.063 
0.036 	0.051 	0.040 
-0.015 	-0.009 	-0.005 
0.052 	0.020 	0.067 
0.065 	0.074 	0.085 
-0.005 	0.007 	0.013 
0.038 	0.021 	0.021 
0.115 	0.084 	0.053 
0.005 	0.040 	-0.021 
0.001 	0.001 	-0.011 
0.099 	0.061 	0.079 
0.041 	0.063 	0.061 
-0.012 	0.003 	0.001 
0.066 	0.034 	0.070 
0.080 	0.073 	0.060 
-0.027 	0.005 	0.004 
0.025 	0.015 	0.029 
0.081 	0.066 	0.094 
0.002 	0.045 	0.011 
-0.011 	0.004 	0.009 
0.101 	0.061 	0.060 
0.039 	0.064 	0.025 
-0.014 	-0.003 	-0.034 
0.058 	0.025 	0.058 
0.064 	0.075 	0.072 
-0.021 	0.012 	0.032 
0.017 	0.017 	0.058 
0.095 	0.090 	0.115 
0.009 	0.043 	0.019 
-0.016 	0.005 	-0.005 
0.103 	0.064 	0.045 
0.043 	0.059 	0.033 
-0.005 	0.008 	-0.023 
0.053 	0.052 	0.067 
0.069 	0.081 	0.067 
-0.012 	0.012 	0.012 
0.024 	0.018 	0.032 
0.083 	0.076 	0.105 
0.015 	0.033 	0.034 
-0.005 	-0.006 	0.038 
0.102 	0.072 	0.093 
0.036 	0.070 	0.060 
-0.014 	0.004 	-0.009 
0.052 	0.038 	0.051 
0.077 	0.079 	0.074 
-0.014 	0.013 	0.011 
0.031 	0.013 	0.049 
0.104 	0.087 	0.111 
0.015 	0.046 	0.047 
-0.013 	-0.005 	0.010 
0.064 	0.051 	0.062 
0.063 	0.079 	0.070 
-0.012 	0.020 	0.008 
0.026 	0.017 	0.062 
0.103 	0.075 	0.083 
0.006 	0.031 	0.020 
0.012 	-0.018 	0.002 
0.070 	0.050 	0.065 
0.040 	0.042 	0.041 
-0.010 	-0.005 	0.019 
0.058 	0.038 	0.069 
0.053 	0.067 	0.074 
-0.023 	-0.004 	0.006 
0.030 	0.021 	0.015 
0.083 	0.065 	0.059 
-0.001 	0.031 	0.003 
0.011 	0.003 	0.017 
0.093 	0.072 	0.080 
0.033 	0.056 	0.052 
-0.006 	-0.007 	-0.001 
0.068 	0.029 	0.052 
0.069 	0.071 	0.055 
-0.023 	-0.003 	0.012 
0.022 	0.018 	0.046 
0.094 	0.071 	0.105 
0.002 	0.026 	0.019 
-0.007 	-0.008 	0.004 
0.087 	0.052 	0.045 
0.033 	0.046 	0.011 
-0.018 	-0.008 	-0.021 
0.060 	0.030 	0.061 
0.069 	0.065 	0.053 
-0.021 	0.002 	0.006 
0.020 	0.016 	0.026 
0.070 	0.063 	0.074 
0.002 	0.029 	0.025 
-0.011 	-0.005 	0.035 
0.093 	0.063 	0.077 
0.039 	0.055 	0.054 
-0.018 	-0.019 	-0.003 
0.057 	0.025 	0.058 
0.063 	0.057 	0.050 
-0.020 	0.000 	-0.004 
0.026 	0.005 	0.037 
0.109 	0.074 	0.094 
0.007 	0.022 	0.019 
-0.003 	-0.012 	-0.004 
0.076 	0.049 	0.046 
0.021 	0.054 	0.012 
-0.030 	-0.004 	-0.018 
0.037 	0.034 	0.057 
0.063 	0.057 	0.068 
-0.027 	0.000 	0.022 
0.023 	0.001 	0.043 
0.082 	0.061 	0.075 
0.002 	0.016 	0.018 
-0.016 	-0.011 	0.021 
0.075 	0.047 	0.107 
0.026 	0.049 	0.069 
-0.017 	-0.021 	0.025 
0.058 	0.022 	0.072 
0.079 	0.056 	0.065 
-0.021 	0.008 	-0.012 
0.016 	0.011 	0.031 
0.083 	0.070 	0.078 
0.000 	0.025 	0.037 
-0.020 	-0.009 	0.031 
0.067 	0.055 	0.103 
0.035 	0.050 	0.049 
-0.017 	-0.015 	-0.005 
0.042 	0.030 	0.047 
0.064 	0.065 	0.064 
-0.019 	0.005 	-0.001 
0.015 	0.003 	0.050 
0.095 	0.069 	0.079 
-0.004 	0.018 	0.022 
-0.020 	-0.001 	0.016 
0.067 	0.053 	0.107 
0.031 	0.053 	0.049 
-0.037 	0.002 	-0.009 
0.040 	0.034 	0.045 
0.042 	0.074 	0.046 
-0.018 	0.014 	-0.016 
0.001 	0.010 	0.018 
0.070 	0.087 	0.051 
-0.005 	0.048 	-0.005 
-0.015 	0.000 	-0.021 
0.066 	0.054 	0.044 
0.024 	0.071 	0.018 
-0.029 	-0.005 	-0.009 
0.041 	0.032 	0.053 
0.059 	0.083 	0.085 
-0.021 	0.018 	0.005 
0.021 	0.015 	0.034 
0.096 	0.078 	0.075 
0.004 	0.036 	0.002 
-0.002 	0.003 	-0.008 
0.074 	0.069 	0.051 
0.032 	0.079 	0.024 
-0.018 	0.016 	-0.011 
0.051 	0.041 	0.062 
0.077 	0.086 	0.053 
-0.013 	0.011 	-0.018 
0.018 	0.025 	0.010 
0.079 	0.082 	0.061 
0.000 	0.042 	0.025 
-0.010 	0.000 	0.021 
0.074 	0.063 	0.081 
0.030 	0.061 	0.054 
-0.009 	-0.001 	-0.018 
0.062 	0.025 	0.046 
0.081 	0.077 	0.059 
-0.003 	0.021 	0.006 
0.025 	0.017 	0.046 
0.086 	0.074 	0.106 
0.008 	0.047 	0.029 
-0.012 	0.000 	0.006 
0.095 	0.069 	0.057 
0.044 	0.066 	0.040 
-0.017 	0.005 	-0.019 
0.047 	0.040 	0.042 
0.081 	0.075 	0.061 
-0.017 	0.008 	0.021 
0.021 	0.021 	0.037 
0.103 	0.089 	0.112 
0.021 	0.038 	0.018 
0.004 	0.001 	0.008 
0.085 	0.054 	0.048 
0.051 	0.062 	0.033 
-0.018 	0.006 	-0.012 
0.055 	0.041 	0.062 
0.082 	0.081 	0.096 
-0.007 	0.009 	0.034 
0.037 	0.014 	0.049 
0.113 	0.083 	0.120 
0.021 	0.032 	0.027 
0.002 	-0.002 	0.014 
0.108 	0.059 	0.083 
0.045 	0.069 	0.077 
-0.013 	0.003 	0.020 
0.056 	0.036 	0.095 
0.085 	0.076 	0.093 
0.004 	0.009 	-0.004 
0.039 	0.003 	0.021 
0.101 	0.075 	0.080 
0.020 	0.032 	0.035 
-0.009 	-0.005 	0.039 
0.091 	0.051 	0.131 
0.048 	0.067 	0.100 
-0.016 	-0.019 	0.023 
0.050 	0.021 	0.060 
0.083 	0.084 	0.071 
-0.001 	0.011 	-0.007 
0.025 	0.001 	0.045 
0.086 	0.073 	0.126 
0.015 	0.039 	0.048 
-0.010 	0.005 	0.013 
0.088 	0.052 	0.067 
0.059 	0.073 	0.026 
-0.015 	-0.002 	-0.017 
0.049 	0.031 	0.044 
0.073 	0.076 	0.096 
-0.008 	0.009 	0.026 
0.009 	-0.006 	0.060 
0.091 	0.073 	0.129 
0.010 	0.041 	0.054 
0.002 	-0.006 	0.021 
0.092 	0.045 	0.077 
0.043 	0.049 	0.041 
-0.026 	-0.013 	0.004 
0.040 	0.027 	0.059 
0.066 	0.070 	0.104 
-0.010 	0.010 	0.034 
0.021 	0.003 	0.031 
0.095 	0.054 	0.069 
0.021 	0.025 	-0.006 
-0.004 	-0.026 	-0.022 
0.077 	0.044 	0.045 
0.040 	0.063 	0.037 
-0.025 	-0.004 	-0.009 
0.036 	0.025 	0.056 
0.063 	0.071 	0.072 
-0.012 	-0.003 	0.000 
0.018 	-0.003 	0.001 
0.080 	0.059 	0.051 
0.010 	0.034 	-0.005 
-0.017 	-0.016 	-0.011 
0.076 	0.042 	0.079 
0.037 	0.049 	0.066 
-0.012 	-0.014 	-0.009 
0.048 	0.001 	0.044 
0.087 	0.071 	0.050 
-0.012 	0.000 	-0.006 
0.008 	0.005 	0.018 
0.063 	0.058 	0.088 
0.008 	0.026 	0.034 
-0.021 	-0.006 	0.005 
0.073 	0.048 	0.047 
0.038 	0.063 	0.031 
-0.021 	-0.005 	-0.038 
0.040 	0.025 	0.035 
0.076 	0.065 	0.068 
-0.021 	0.004 	0.025 
0.007 	0.001 	0.051 
0.084 	0.063 	0.102 
0.010 	0.037 	0.028 
-0.016 	-0.003 	0.002 
0.069 	0.036 	0.058 
0.040 	0.069 	0.049 
-0.015 	-0.013 	-0.003 
0.038 	0.015 	0.031 
0.081 	0.068 	0.063 
-0.021 	0.018 	0.002 
0.014 	0.005 	0.032 
0.088 	0.069 	0.076 
0.022 	0.031 	0.007 
-0.017 	-0.015 	-0.009 
0.078 	0.038 	0.045 
0.034 	0.061 	0.032 
-0.032 	-0.001 	-0.012 
0.036 	0.036 	0.043 
0.080 	0.066 	0.088 
-0.009 	0.018 	-0.003 
0.017 	-0.006 	0.016 
0.102 	0.055 	0.066 
0.013 	0.031 	0.025 
-0.013 	-0.013 	0.012 
0.073 	0.039 	0.120 
0.057 	0.072 	0.086 
-0.016 	-0.009 	0.026 
0.059 	0.018 	0.065 
0.092 	0.067 	0.092 
-0.004 	0.019 	0.011 
0.005 	0.007 	0.041 
0.097 	0.072 	0.117 
0.014 	0.054 	0.071 
-0.006 	-0.005 	0.039 
0.086 	0.047 	0.110 
0.066 	0.060 	0.056 
-0.010 	-0.004 	-0.008 
0.052 	0.020 	0.057 
0.081 	0.077 	0.089 
-0.010 	0.013 	0.017 
0.016 	0.005 	0.029 
0.096 	0.067 	0.088 
0.018 	0.044 	0.002 
-0.009 	0.003 	-0.026 
0.080 	0.061 	0.035 
0.046 	0.072 	0.042 
-0.017 	0.012 	-0.025 
0.043 	0.037 	0.041 
0.099 	0.086 	0.055 
-0.007 	0.026 	-0.004 
0.018 	0.013 	0.000 
0.094 	0.074 	0.079 
0.038 	0.047 	0.024 
-0.020 	-0.006 	0.018 
0.086 	0.042 	0.084 
0.049 	0.064 	0.070 
-0.020 	-0.001 	-0.010 
0.036 	0.034 	0.066 
0.071 	0.081 	0.075 
-0.015 	0.024 	0.014 
0.011 	0.006 	0.014 
0.078 	0.071 	0.054 
0.022 	0.037 	0.005 
-0.008 	0.001 	-0.029 
0.070 	0.056 	0.079 
0.039 	0.083 	0.074 
-0.011 	-0.001 	0.016 
0.043 	0.029 	0.055 
0.086 	0.063 	0.065 
0.004 	0.029 	-0.009 
0.003 	-0.003 	0.004 
0.073 	0.074 	0.074 
0.005 	0.058 	0.044 
-0.023 	-0.004 	0.000 
0.057 	0.042 	0.072 
0.067 	0.071 	0.050 
-0.015 	0.002 	-0.013 
0.039 	0.025 	0.017 
0.077 	0.078 	0.071 
-0.013 	0.020 	-0.004 
-0.002 	0.007 	0.016 
0.076 	0.071 	0.074 
0.009 	0.040 	0.026 
-0.016 	-0.004 	-0.036 
0.074 	0.043 	0.028 
0.062 	0.061 	0.022 
-0.022 	-0.002 	-0.011 
0.033 	0.016 	0.021 
0.081 	0.063 	0.082 
-0.003 	0.005 	0.031 
0.000 	-0.004 	0.031 
0.089 	0.056 	0.084 
0.006 	0.040 	0.046 
-0.024 	-0.014 	0.012 
0.045 	0.038 	0.064 
0.032 	0.060 	0.058 
-0.026 	0.010 	-0.006 
0.025 	0.015 	0.043 
0.069 	0.080 	0.064 
-0.019 	0.016 	0.032 
0.002 	-0.004 	0.022 
0.065 	0.048 	0.076 
0.016 	0.040 	0.022 
-0.013 	-0.012 	0.006 
0.052 	0.041 	0.066 
0.028 	0.075 	0.062 
-0.026 	0.000 	0.008 
0.030 	0.023 	0.057 
0.070 	0.070 	0.074 
-0.017 	0.016 	0.008 
0.001 	-0.001 	-0.002 
0.063 	0.067 	0.050 
0.018 	0.045 	0.030 
-0.009 	0.002 	0.030 
0.077 	0.044 	0.092 
0.069 	0.068 	0.081 
-0.002 	0.010 	0.009 
0.032 	0.038 	0.026 
0.089 	0.086 	0.059 
-0.016 	0.030 	0.009 
