qtotal (%)	Lateral Force (kN)
0.283791667	87.74
0.252875	77.39
0.221333333	67.51
0.190625	57.51
0.15875	47.49
0.128291667	37.89
0.096833333	27.44
0.066041667	16.97
0.034666667	7.38
0.003375	-2.25
-0.027375	-12.1
-0.058916667	-22.07
-0.089416667	-31.93
-0.120375	-42.03
-0.151375	-51.67
-0.183125	-61.66
-0.213708333	-71.79
-0.24575	-82.02
-0.276625	-92.35
-0.307	-102.07
-0.338625	-112.46
-0.370125	-122.52
-0.401458333	-132.66
-0.432291667	-142.9
-0.463708333	-153.17
-0.494666667	-163.06
-0.525666667	-173.09
-0.557416667	-183.2
-0.587791667	-193.57
-0.619333333	-203.51
-0.650333333	-213.04
-0.6815	-222.98
-0.712583333	-232.73
-0.743541667	-242.28
-0.718708333	-227.7
-0.687208333	-216.9
-0.656458333	-206.64
-0.624916667	-196.59
-0.593625	-186.1
-0.562166667	-176.04
-0.530875	-165.38
-0.500208333	-155.27
-0.46875	-144.93
-0.437625	-134.71
-0.406708333	-124.42
-0.375583333	-114.18
-0.343875	-104.08
-0.312583333	-94.16
-0.281458333	-83.92
-0.250625	-73.93
-0.219541667	-63.94
-0.187958333	-53.98
-0.157125	-43.94
-0.12625	-34.15
-0.094958333	-24.41
-0.063916667	-14.58
-0.032708333	-4.68
-0.001333333	5.1
0.029666667	14.44
0.060416667	24.64
0.091875	35.04
0.122875	45.04
0.154125	54.89
0.185333333	64.84
0.216125	74.89
0.247291667	84.68
0.27875	94.49
0.31	104.75
0.340875	114.34
0.372291667	124.46
0.404	133.97
0.434666667	144.02
0.466125	154.22
0.49725	164.03
0.527916667	173.92
0.559125	184.16
0.59075	193.96
0.621708333	203.81
0.652541667	213.93
0.683958333	223.69
0.715125	233.83
0.745875	243.83
0.721375	231.43
0.68975	221.46
0.658166667	211.11
0.62675	200.99
0.596041667	191.01
0.564375	180.88
0.532916667	170.96
0.502625	160.92
0.470916667	151.08
0.439958333	141.35
0.409333333	131.29
0.377416667	121.3
0.346041667	111.2
0.314666667	101.38
0.284208333	91.45
0.252916667	81.67
0.221458333	71.77
0.19025	61.65
0.159	51.66
0.127625	41.53
0.096958333	31.82
0.065458333	21.18
0.034916667	10.99
0.003583333	1.82
-0.027375	-7.99
-0.0585	-17.79
-0.089416667	-27.65
-0.120541667	-37.64
-0.152125	-47.82
-0.182875	-57.66
-0.2145	-67.58
-0.245041667	-77.71
-0.276666667	-87.94
-0.307541667	-98.21
-0.338625	-108.06
-0.369333333	-118.26
-0.401375	-128.47
-0.432708333	-138.53
-0.463625	-148.78
-0.494958333	-158.89
-0.52575	-169.08
-0.557625	-179.22
-0.588333333	-189.18
-0.619291667	-199.64
-0.650458333	-209.85
-0.681541667	-219.89
-0.71225	-230.33
-0.743833333	-240.7
-0.719	-227.83
-0.687166667	-217.07
-0.656666667	-206.74
-0.624958333	-196.65
-0.593666667	-186.47
-0.562333333	-176
-0.5315	-165.63
-0.500291667	-155.39
-0.469291667	-145.09
-0.437875	-134.81
-0.406541667	-124.51
-0.375625	-114.47
-0.344166667	-104.25
-0.312916667	-94.15
-0.281625	-84.13
-0.251041667	-73.8
-0.219416667	-64.08
-0.188333333	-53.89
-0.157041667	-43.98
-0.12575	-34.23
-0.095208333	-24.6
-0.063875	-14.65
-0.0325	-4.79
-0.001416667	4.92
0.02975	14.49
0.061041667	24.58
0.092	34.67
0.122791667	44.76
0.153833333	54.67
0.185083333	64.81
0.216375	74.84
0.247333333	84.58
