qpz (%)	Lateral Force (kN)
-0.030880099	-94.16
-0.029042882	-83.92
-0.02686707	-73.93
-0.025029853	-63.94
-0.022422125	-53.98
-0.020581053	-43.94
-0.018743836	-34.15
-0.016392945	-24.41
-0.014551873	-14.58
-0.012119224	-4.68
-0.009686575	5.1
-0.007592521	14.44
-0.005334951	24.64
-0.003162994	35.04
-0.001072794	45.04
0.001270388	54.89
0.003450054	64.84
0.005886558	74.89
0.008400965	84.68
0.010662389	94.49
0.012589073	104.75
0.014683128	114.34
0.016687715	124.46
0.018606689	133.97
0.020358294	144.02
0.022362881	154.22
0.02462816	164.03
0.026893439	173.92
0.029236621	184.16
0.031587513	193.96
0.033595954	203.81
0.035771766	213.93
0.038212125	223.69
0.041415285	233.83
0.043587243	243.83
0.044673221	231.43
0.044859865	221.46
0.044723332	211.11
0.044255913	200.99
0.043706737	191.01
0.042982481	180.88
0.042172613	170.96
0.040599942	160.92
0.039529382	151.08
0.03786339	141.35
0.035854948	131.29
0.033589669	121.3
0.031328245	111.2
0.029152433	101.38
0.027311361	91.45
0.025131695	81.67
0.02287027	71.77
0.020437621	61.65
0.018261809	51.66
0.016000385	41.53
0.013988088	31.82
0.011726664	21.18
0.009546998	10.99
0.007449089	1.82
0.005355035	-7.99
0.003183077	-17.79
0.001003411	-27.65
-0.001339771	-37.64
-0.003433826	-47.82
-0.005699105	-57.66
-0.007789304	-67.58
-0.010050728	-77.71
-0.01240162	-87.94
-0.015083397	-98.21
-0.017259209	-108.06
-0.019516778	-118.26
-0.021774348	-128.47
-0.0242849	-138.53
-0.026211584	-148.78
-0.028729846	-158.89
-0.031326011	-169.08
-0.03359129	-179.22
-0.035938326	-189.18
-0.038452733	-199.64
-0.040721867	-209.85
-0.04366819	-219.89
-0.045509262	-230.33
-0.048366118	-240.7
-0.049798401	-227.83
-0.04958011	-217.07
-0.049112692	-206.74
-0.048559661	-196.65
-0.04800663	-186.47
-0.04642625	-176
-0.044250438	-165.63
-0.042327609	-155.39
-0.040572149	-145.09
-0.03831458	-134.81
-0.036138768	-124.51
-0.034558388	-114.47
-0.032717316	-104.25
-0.030802196	-94.15
-0.028540772	-84.13
-0.026956537	-73.8
-0.024780725	-64.08
-0.022519301	-53.89
-0.020767697	-43.98
-0.019350832	-34.23
-0.016832571	-24.6
-0.014652904	-14.65
-0.012473238	-4.79
-0.010293571	4.92
-0.007604085	14.49
-0.00534266	24.58
-0.003338073	34.67
-0.001158407	44.76
0.001017405	54.67
0.00327883	64.81
0.005711479	74.84
0.008225886	84.58
0.010405552	94.56
0.012923814	104.26
0.01544593	114.46
0.017968046	123.92
0.02022947	134.15
0.022062833	143.74
0.023903904	154.21
0.025822879	163.86
0.027998691	173.89
0.02992152	184.31
0.032428218	194.05
0.034024016	203.86
0.036289295	214.22
0.038714235	223.84
0.041158448	234.1
0.043591097	243.94
0.044762688	231.36
0.045276363	221.25
0.044645429	210.82
0.044259768	200.94
0.043792349	191.11
0.043149851	180.86
0.042258225	170.98
0.040852925	160.6
0.039614994	151.02
0.037439182	141.2
0.035426886	131.07
0.033251074	121.42
0.03132439	111.64
0.029230336	101.4
0.026879445	91.34
0.02478539	81.81
0.022862561	71.78
0.020768507	61.71
0.018425325	51.62
0.016331271	41.74
0.014069846	31.73
0.011894034	21.16
0.009718222	11.46
0.007371186	1.7
0.005273277	-8.05
0.003179223	-17.76
0.001003411	-27.56
-0.001090644	-37.61
-0.003348213	-47.33
-0.005442267	-57.44
-0.007793159	-67.56
-0.010054583	-77.78
-0.012479523	-87.75
-0.014744802	-97.66
-0.017169742	-108.37
-0.01910028	-117.95
-0.021447317	-128.41
-0.024043482	-138.6
-0.026476131	-148.85
-0.028990538	-158.78
-0.03099898	-168.95
-0.033509532	-179.21
-0.036027793	-189.28
-0.038117993	-199.5
-0.041068171	-209.63
-0.042994855	-219.84
-0.045513117	-229.98
-0.047525413	-240.51
-0.049125066	-227.87
-0.049148194	-217
-0.048599017	-206.77
-0.048213357	-196.32
-0.047492955	-185.98
-0.046515717	-175.86
-0.044674645	-165.67
-0.042584446	-155.45
-0.040828987	-144.97
-0.038995624	-134.82
-0.036987182	-124.62
-0.034978741	-114.37
-0.032802929	-104.3
-0.030880099	-94.16
-0.028704287	-84.18
-0.02686707	-73.68
-0.025368448	-63.94
-0.023107024	-53.88
-0.021269807	-44.07
-0.019261365	-34.12
-0.017256778	-24.44
-0.015333949	-14.65
-0.013158137	-4.73
-0.011060228	5.11
-0.008966174	14.41
-0.006619137	24.67
-0.003672814	34.84
-0.00106894	44.92
0.00136371	54.94
0.003881971	64.84
0.00648199	74.68
0.008829027	84.74
0.011004839	94.61
0.013095039	104.28
0.01544593	114.44
0.017878579	124.25
0.019972633	133.93
0.022401428	143.88
0.024409869	154
0.026332699	164.07
0.028672026	174.23
0.030174503	184.33
0.031840495	194.11
0.033767179	204.04
0.03578333	214.47
0.038215979	224.11
0.040648629	234.39
0.04316689	244.29
0.044342336	231.39
0.044937768	220.97
0.044470349	211.15
0.044170301	200.9
0.043453754	191.37
0.043149851	180.96
0.042258225	171.01
0.040934682	161.07
0.03977851	151.29
0.038112518	141.41
0.036014609	131.32
0.034091779	121.36
0.031826501	111.74
0.029728592	101.53
0.027463313	91.62
0.025283646	81.83
0.023107834	72.07
0.021095538	61.72
0.018919726	52.03
0.016743914	41.86
0.01448249	31.75
0.012053695	21.46
0.009792271	11.44
0.007445234	1.72
0.005355035	-7.9
0.003175368	-17.64
0.001166926	-27.68
-0.001180111	-37.55
-0.00343768	-47.67
-0.005706814	-57.33
-0.008135608	-67.31
-0.011070368	-77.66
-0.013004761	-87.74
-0.014670753	-97.91
-0.01685042	-108.19
-0.019364827	-117.78
-0.021380978	-128.04
-0.023642402	-138.43
-0.026320325	-148.6
-0.028752974	-158.81
-0.030928786	-168.83
-0.033528805	-178.98
-0.035455489	-189.47
-0.037802526	-199.46
-0.041422184	-209.62
-0.042753436	-220.02
-0.044590653	-230.02
-0.046431725	-240.6
-0.048031378	-227.97
-0.04862681	-216.83
-0.048163246	-206.45
-0.047777585	-196.25
-0.047057184	-186.22
-0.046504153	-175.83
-0.045608672	-165.33
-0.043094265	-155.38
-0.041004066	-144.86
-0.038999479	-134.45
-0.036991037	-124.44
-0.035064353	-114.16
-0.032802929	-104.37
-0.030627117	-94.19
-0.028786045	-84.15
-0.026695846	-73.99
-0.024854774	-63.87
-0.023107024	-53.76
-0.02101297	-44.06
-0.019175753	-34.3
-0.017334681	-24.44
-0.015330094	-14.46
-0.0129013	-5.02
-0.01030128	4.9
-0.008378451	14.33
-0.005941947	24.66
-0.002991769	34.76
-0.000640878	45.06
0.001453177	54.86
0.003543376	64.63
0.006143395	74.55
0.008747269	84.39
0.011094306	94.74
0.013445197	104.47
0.015706622	114.24
0.017718918	124.21
0.01989473	133.7
0.021910881	144.13
0.024168451	154.53
0.02609128	164.24
0.02801411	174.18
0.030182212	184.64
0.032108896	194.36
0.034374175	204.15
0.036386472	214.5
0.038480526	224.32
0.041247915	234.71
0.043178454	244.63
0.04417882	231.57
0.044937768	220.96
0.044715622	210.93
0.044084688	201.1
0.04361727	190.88
0.043149851	181.14
0.04242174	171.23
0.04118381	160.89
0.039692898	150.99
0.037859535	141.5
0.035508644	131.43
0.03358196	121.31
0.03149176	111.63
0.029230336	101.54
0.027132427	91.81
0.024948906	81.82
0.022858706	72.01
0.020597282	61.68
0.018335858	52.04
0.016066724	41.93
0.013809154	31.71
0.011629488	21.47
0.009368063	11.45
0.007188397	1.84
0.005094343	-7.94
0.003004143	-17.73
0.000991847	-27.27
-0.001102207	-37.42
-0.003278019	-47.35
-0.005033479	-57.5
-0.007209291	-67.24
-0.009560182	-77.3
-0.012152492	-87.84
-0.014499529	-97.74
-0.017091839	-108.05
-0.019353263	-117.89
-0.022042749	-128.17
-0.024055046	-138.54
-0.02665121	-148.71
-0.028324912	-158.53
-0.030671949	-168.73
-0.033015131	-178.92
-0.03493796	-189.19
-0.037203239	-199.37
-0.039215535	-209.82
-0.041227832	-219.92
-0.043578723	-230.19
-0.04575839	-240.75
-0.047190673	-227.74
-0.04811699	-217.07
-0.04773133	-206.23
-0.047427426	-196.44
-0.046625267	-186.16
-0.046072236	-175.82
-0.045347981	-165.52
-0.043946535	-155.28
-0.042019851	-144.97
-0.039847893	-134.57
-0.037925064	-124.42
-0.035920477	-114.35
-0.033491682	-104.23
-0.031389919	-94.13
-0.029303574	-84.26
-0.027384599	-73.7
-0.025376158	-64.09
-0.023196491	-54.14
-0.021359274	-44.12
-0.018669788	-34.42
-0.016832571	-24.23
-0.015162724	-14.57
-0.012730075	-4.87
-0.010639875	5.24
-0.008203371	14.53
-0.005766868	24.71
-0.003073527	34.66
