U_Link_disp     U_Link_shear
0.0267528     1387.41
0.0279682     1388.14
0.0278071     1313.8
0.027646     1239.45
0.027485     1165.11
0.0273239     1090.77
0.0271628     1016.42
0.0270017     942.08
0.0268406     867.737
0.0266796     793.393
0.0265185     719.05
0.0263574     644.707
0.0261963     570.364
0.0260353     496.02
0.0258742     421.677
0.0257131     347.334
0.025552     272.991
0.025391     198.647
0.0252299     124.304
0.0250688     49.9609
0.0249077     -24.3824
0.0247466     -98.7256
0.0245856     -173.069
0.0244245     -247.412
0.0242634     -321.755
0.0241023     -396.099
0.0239413     -470.442
0.0237802     -544.785
0.0236191     -619.128
0.023458     -693.472
0.023297     -767.815
0.0231359     -842.158
0.0229748     -916.501
0.0228137     -990.845
0.0226529     -1065.09
0.0225033     -1134.09
0.0224055     -1179.15
0.022336     -1205.87
0.0222637     -1225.28
0.0221709     -1241.24
0.0220411     -1255.12
0.0218567     -1267.51
0.0215998     -1278.69
0.021254     -1288.77
0.0208073     -1297.83
0.0202538     -1305.94
0.0195937     -1313.19
0.0188323     -1319.64
0.0179783     -1325.4
0.0170416     -1330.55
0.0160325     -1335.18
0.0149604     -1339.35
0.0138339     -1343.14
0.0126604     -1346.6
0.0114463     -1349.76
0.010197     -1352.68
0.0089171     -1355.38
0.00761043     -1357.89
0.00628029     -1360.23
0.00492947     -1362.43
0.00356035     -1364.49
0.00217497     -1366.43
0.000775074     -1368.27
-0.000637831     -1370.01
-0.00206244     -1371.66
-0.0034976     -1373.24
-0.00494233     -1374.74
-0.00639575     -1376.18
-0.00785709     -1377.56
-0.00932567     -1378.89
-0.0108009     -1380.16
-0.0122822     -1381.38
-0.0137691     -1382.57
-0.0152612     -1383.71
-0.0167581     -1384.81
-0.0182595     -1385.88
-0.019765     -1386.91
-0.0212743     -1387.91
-0.0227872     -1388.89
-0.0243035     -1389.83
-0.0258229     -1390.75
-0.0273453     -1391.65
-0.0288704     -1392.52
-0.0303981     -1393.37
-0.0319282     -1394.2
-0.0334606     -1395.01
-0.0349952     -1395.81
-0.0365318     -1396.58
-0.0380704     -1397.34
-0.0396108     -1398.08
-0.041153     -1398.8
-0.0426968     -1399.52
-0.0442422     -1400.21
-0.045789     -1400.9
-0.0473373     -1401.57
-0.0488869     -1402.22
-0.0504378     -1402.87
-0.0519899     -1403.51
-0.0535432     -1404.13
-0.0550976     -1404.74
-0.0566531     -1405.35
-0.0582096     -1405.94
-0.0580163     -1316.73
-0.057823     -1227.52
-0.0576297     -1138.3
-0.0574365     -1049.09
-0.0572432     -959.881
-0.0570499     -870.669
-0.0568566     -781.457
-0.0566633     -692.245
-0.05647     -603.033
-0.0562767     -513.822
-0.0560834     -424.61
-0.0558901     -335.398
-0.0556968     -246.186
-0.0555035     -156.974
-0.0553102     -67.762
-0.0551169     21.4498
-0.0549236     110.662
-0.0547304     199.874
-0.0545371     289.086
-0.0543438     378.297
-0.0541505     467.509
-0.0539572     556.721
-0.0537639     645.933
-0.0535706     735.145
-0.0533773     824.357
-0.053184     913.569
-0.0529907     1002.78
-0.0528002     1090.69
-0.05266     1156.12
-0.0525742     1190.95
-0.0524864     1214.27
-0.0523678     1232.88
-0.0521917     1248.85
-0.0519292     1262.93
-0.0515526     1275.42
-0.0510399     1286.48
-0.0503797     1296.22
-0.049572     1304.76
-0.0486262     1312.23
-0.0475567     1318.78
-0.0463801     1324.55
-0.0451119     1329.67
-0.0437663     1334.24
-0.0423554     1338.35
-0.0408894     1342.07
-0.0393765     1345.45
-0.0378237     1348.55
-0.0362367     1351.41
-0.0346201     1354.06
-0.032978     1356.52
-0.0313135     1358.83
-0.0296293     1360.98
-0.0279279     1363.02
-0.0262112     1364.93
-0.0244808     1366.75
-0.0227382     1368.47
-0.0209846     1370.12
-0.0192211     1371.68
-0.0174486     1373.18
-0.0156681     1374.62
-0.0138801     1375.99
-0.0120853     1377.32
-0.0102844     1378.59
-0.00847778     1379.82
-0.0066659     1381.01
-0.00484918     1382.15
-0.00302799     1383.27
-0.00120264     1384.34
0.000626568     1385.39
0.00245937     1386.4
0.00429551     1387.39
0.00613479     1388.35
0.007977     1389.28
0.00982194     1390.19
0.0116695     1391.08
0.0135194     1391.94
0.0153716     1392.79
0.017226     1393.62
0.0190824     1394.43
0.0209407     1395.22
0.0228008     1395.99
0.0246627     1396.75
0.0265261     1397.5
0.0283911     1398.23
0.0302576     1398.94
0.0321255     1399.65
0.0339947     1400.34
0.0358651     1401.01
0.0377368     1401.68
0.0396096     1402.34
0.0414835     1402.98
0.0433584     1403.62
0.0452344     1404.24
0.0471113     1404.86
0.0489891     1405.46
0.0508678     1406.06
0.0527474     1406.65
0.0546277     1407.23
0.0565089     1407.8
0.0583907     1408.37
0.0581975     1319.15
0.0580042     1229.94
0.0578109     1140.73
0.0576176     1051.52
0.0574243     962.307
